Appointment Number,Appointment Type,Staff Number,Staff Band,Room Number,Room Type,Day Index,Day Of Week,Start Slot,Start Time,End Time,Duration Minutes,Ideal Day Index,Delay Days
1,0,7,6,2,BOOTH,0,TUESDAY,22,14:30,15:30,60,-98,98
2,0,4,5,4,ROOM,0,TUESDAY,9,11:15,12:15,60,-131,131
4,0,1,5,3,BOOTH,0,TUESDAY,14,12:30,12:45,15,-374,374
9,0,6,6,1,BOOTH,0,TUESDAY,10,11:30,12:30,60,-186,186
12,0,5,6,1,BOOTH,0,TUESDAY,0,09:00,10:45,105,-402,402
18,0,9,7,2,BOOTH,0,TUESDAY,18,13:30,14:30,60,-154,154
25,0,2,5,0,BOOTH,0,TUESDAY,13,12:15,13:45,90,-83,83
26,0,5,6,1,BOOTH,0,TUESDAY,18,13:30,14:30,60,-118,118
27,0,6,6,1,BOOTH,0,TUESDAY,6,10:30,11:30,60,-224,224
30,1,1,5,3,BOOTH,0,TUESDAY,14,12:30,13:30,60,0,0
31,0,11,8,3,BOOTH,0,TUESDAY,28,16:00,17:00,60,-241,241
33,0,1,5,3,BOOTH,0,TUESDAY,23,14:45,15:45,60,-321,321
36,0,6,6,1,BOOTH,0,TUESDAY,22,14:30,15:30,60,-429,429
37,0,6,6,1,BOOTH,0,TUESDAY,28,16:00,17:00,60,-369,369
38,0,2,5,0,BOOTH,0,TUESDAY,6,10:30,12:15,105,-73,73
40,0,11,8,3,BOOTH,0,TUESDAY,0,09:00,10:00,60,-350,350
45,0,2,5,0,BOOTH,0,TUESDAY,0,09:00,10:00,60,-307,307
53,0,9,7,2,BOOTH,0,TUESDAY,0,09:00,10:00,60,-88,88
54,0,9,7,2,BOOTH,0,TUESDAY,14,12:30,13:30,60,-43,43
59,0,7,6,2,BOOTH,0,TUESDAY,5,10:15,11:15,60,-493,493
